ticker,name,sic_code,description,total_employees
CAML,Congress Large Cap Growth ETF,,,0
CAMP,CAMP4 Therapeutics Corporation Common Stock,,Camp4 Therapeutics Corp is a clinical-stage biopharmaceutical company pioneering the discovery and development of regulatory RNA-based therapeutics to upregulate gene expression and restore healthy protein levels to treat various genetic diseases. It focuses on genetic diseases of the central nervous system and liver. The group's pipeline products are CMP-CPS-001 and CMP-SYNGAP.,0
CAMT,Camtek Ltd,,"Camtek Ltd is engaged in the manufacturing of metrology and inspection equipment and software solutions for the semiconductor industry. Its systems inspect wafers for various semiconductor market segments, including Advanced Packaging, Heterogenous Integration (HI), Compound Semiconductors, Memory, and foundries among others. Geographically, it derives maximum revenue from China followed by Asia Pacific, Korea, United States, and Europe. The company's products and services include Surface Inspection, Bump Inspection and Metrology, and others.",565
CAN,Canaan Inc. American Depositary Shares,,Canaan Inc is a developer of supercomputing chips and the manufacturer of digital blockchain computing equipment as well as the supplier of the overall scheme for computer software and hardware of digital blockchain. The revenues of the company are derived from the sales of Bitcoin mining machines and related parts.,541
CANC,Tema Oncology ETF,,,0
CANE,Teucrium Sugar Fund,6221,,0
CANF,"Can-Fite BioPharma Ltd. American Depositary Shares, each representing three hundred (300) Ordinary Shares",,"Can Fite Biofarma Ltd is an clinical-stage biopharmaceutical company. The company develops orally bioavailable small molecule therapeutic products for the treatment of cancer, liver and inflammatory diseases. The company's platform technology utilizes the Gi protein associated A3 adenosine receptor, or A3AR, as a therapeutic target. The company's drug candidate, Piclidenoson, is currently in a Phase III trial for psoriasis. Can-Fite's liver drug, Namodenoson, is headed into a Phase III trial for hepatocellular carcinoma (HCC), the common form of liver cancer, and a Phase IIb trial for the treatment of non-alcoholic steatohepatitis (NASH).",5
CANQ,Calamos Alternative Nasdaq & Bond ETF,,,0
CAOS,,,,0
CAPE,DoubleLine Shiller CAPE U.S. Equities ETF,,,0
CAPL,CrossAmerica Partners LP Common units representing limited partner interests,5172,"CrossAmerica Partners LP is engaged in the wholesale distribution of motor fuel and the ownership and leasing of real estate used in the retail distribution of motor fuel. The company operates through two business segments namely Wholesale and Retail. The Wholesale segment is a key revenue driver, includes the wholesale distribution of motor fuel to lessee dealers, independent dealers, commission agents, DMS, Circle K and through company operated retail sites. The Retail segment includes the sale of convenience merchandise items, the retail sale of motor fuel at company-operated retail sites and the retail sale of motor fuel at retail sites operated by commission agents.",244
CAPN,Cayson Acquisition Corp Ordinary shares,6770,Cayson Acquisition Corp is a blank check company.,0
CAPNR,Cayson Acquisition Corp Right,6770,,0
CAPR,Capricor Therapeutics Inc,2834,"Capricor Therapeutics Inc is a biotechnology company focused on advancing transformative cell and exosome-based therapeutics to redefine the treatment landscape for rare diseases. The company's product pipeline includes CAP-1002, deramiocel an allogeneic cardiac-derived cell therapy. Deramiocel is currently advancing through Phase 3 clinical development for the treatment of Duchenne muscular dystrophy. Through its proprietary StealthXTM platform, the group uses its exosome technology to conduct preclinical research focused on vaccinology, delivering oligonucleotides, proteins, and small molecules to treat and prevent a wide range of diseases with targeted delivery.",102
CAPT,Captivision Inc. Ordinary Shares,,"Captivision Inc Formerly Glaam Co Ltd is engaged in manufacturing, installing, and selling LED display G-Glass. G-Glass is an integrated ICT product that has the basic characteristics of transparent glass but can display media images at the same time. It implements media images through the glass surface while preserving the features of clear and transparent glass. G-Glass is the world's first IT building material that can be applied to various places where glass is used.",98
CAPTW,Captivision Inc. Warrant,,"Captivision Inc Formerly Glaam Co Ltd is engaged in manufacturing, installing, and selling LED display G-Glass. G-Glass is an integrated ICT product that has the basic characteristics of transparent glass but can display media images at the same time. It implements media images through the glass surface while preserving the features of clear and transparent glass. G-Glass is the world's first IT building material that can be applied to various places where glass is used.",98
CAR,"Avis Budget Group, Inc.",7510,"Avis Budget Group Inc is a provider of automotive vehicle rental and car-sharing services. Its brands include Avis, Budget, and Zipcar. Avis is targeted to serve the premium commercial and leisure segments of the travel industry, while Budget is focused on value-conscious customers. The company operates its own network of rental locations and licenses its brands to franchisees. Zipcar is a car-sharing service that allows members to use the company-owned Zipcar fleet at an hourly rate. The company's largest region by revenue is the Americas.",31000
CARA,"Cara Therapeutics, Inc.",2834,"Cara Therapeutics Inc is a development-stage biotechnology company involved in the development of novel therapeutics to treat human diseases associated with inflammation, pain, and pruritus. Cara's most advanced compound, CR845, aims to treat acute pain and pruritus. This patented compound has analgesic, anti-inflammatory, and antipruritic properties that can be used for multiple therapeutic applications. Additionally, Cara's objective is to use its proprietary drug-screening technology to develop a future pipeline of first-in-class molecules with analgesic and anti-inflammatory features.",55
CARD,MAX Auto Industry -3x Inverse Leveraged ETN,6029,,0
CARE,"Carter Bankshares, Inc. Common Stock",6021,"Carter Bankshares Inc is a bank holding company that conducts its business solely through the bank. The Bank earns revenue from interest on loans and securities and fees charged for financial services provided to customers. The Bank offers a full range of deposit services including Lifetime Free Checking, interest checking accounts, savings accounts, retirement accounts and other deposit accounts of various types, ranging from money market accounts to longer-term CDs. The Bank offers a full range of commercial and consumer loans. The Bank also originates and holds fixed and variable-rate mortgage loans and offers home equity lines of credit to its customers.",679
CARG,"CarGurus, Inc. Class A Common Stock",7374,"CarGurus Inc is a company that acts as an online automotive marketplace connecting buyers and sellers of new and used cars. The company provides three types of marketplace Listing products, Restricted Listings, and Enhanced or Featured Listing through which it offers real-time and historical data analyzing the connections and pricing analysis. The listing platforms offer auto manufacturers and others to buy advertising on the company's site and target consumers based on the make, model, and zip code of the cars. The company operates through two segments namely U.S. Marketplace and Digital Wholesale. It generates majority of revenue from the U.S. Marketplace.",1343
CARK,CastleArk Large Growth ETF,,,0
CARM,,2834,"CARISMA Therapeutics Inc is a clinical-stage cell therapy company focused on utilizing Carisma's proprietary chimeric antigen receptor macrophage and monocyte cell engineering platform to develop transformative immunotherapies to treat cancer and other serious diseases. The company has created a comprehensive cell therapy platform to enable the therapeutic use of engineered macrophages and monocytes, which belong to a subgroup of white blood cells called myeloid cells.",68
CARR,Carrier Global Corporation,3585,"Carrier Global manufactures heating, ventilation, and air conditioning, refrigeration, and fire and security products. The HVAC business serves both residential and commercial markets (HVAC segment sales mix is 60% commercial and 40% residential). Carrier's refrigeration segment consists of its transportation refrigeration, Sensitech supply chain monitoring, and commercial refrigeration businesses. The firm's fire and security business manufactures fire detection and suppression, access controls, and intrusion detection products. In April 2023, Carrier announced that it plans to divest its fire and security and commercial refrigeration businesses. The firm also acquired Germany-based Viessmann for approximately $13 billion.",53000
CARS,Cars.com Inc. Common Stock,7374,"Cars.com Inc is an online destination for buying and selling new and used vehicles. The company brands include Dealer Inspire, DealerRater, FUEL, Accu-Trade, PickupTrucks.com, CreditIQ, and NewCars.com., websites directed towards different consumer segments.",1700
CART,Maplebear Inc. Common Stock,7389,"Maplebear (Instacart) operates a leading grocery delivery platform in the United States and Canada. The company partners with various regional and national grocers, which offer their selection of food and other goods to customers through Instacart's ubiquitous platform. Once an item is ordered through Instacart's site, the item is picked and delivered to the customer's home by one of the platform's 600,000 shoppers, who are classified as independent contractors. Instacart earns fees based on average order value and leverages its platform's high usage to sell advertising, mainly to consumer-packaged goods companies. Instacart currently has about 8 million monthly active users (or orderers) on its platform.",3380
CARU,MAX Auto Industry 3x Leveraged ETN,6029,,0
CARV,"Carver Bancorp, Inc.",6035,"Carver Bancorp Inc is a holding company and conducts its business as a unitary saving and loan holding firm and the business of the company consists of the operation of its subsidiary. The bank offers a wide range of financial solutions to meet customers' banking. It offers other consumer and commercial banking products and services, such as debit cards, online banking, online bill pay, and telephone banking. The company provides deposit products, such as demand, savings, and time deposits for consumers, businesses, and governmental and quasi-governmental agencies in its market area within New York City.",108
CARY,,,,0
CARZ,First Trust Exchange-Traded Fund II First Trust S-Network Future Vehicles & Technology ETF,,,0
CASH,"Pathward Financial, Inc. Common Stock",6021,"Pathward Financial Inc is a unitary savings and loan holding company. It's a wholly owned full-service banking subsidiary of Meta Financial, is both a community-oriented financial institution offering a variety of financial services to meet the needs of the communities it serves, and a payments company providing services on a nationwide basis. It operates through three reportable segments: Consumer: The Consumer segment includes the Partner Solutions business line, which collaborates with partners to navigate payment and lending needs; Commercial: The Commercial segment includes the Company's Commercial Finance business line, which helps businesses access funds needed to launch, operate, and grow; and Corporate Services. The majority of the revenue is generated from Consumer segment.",1244
CASI,"CASI Pharmaceuticals, Inc. Ordinary Shares",,"CASI Pharmaceuticals Inc is a biopharmaceutical company that focuses on commercializing therapeutics and pharmaceutical products. The products include injections for patients who are suffering from leukemias and lymphomas. The EVOMELA injection is used as a conditioning treatment before autologous stem cell transplant for patients with multiple myeloma. The company products include CID-103, CNCT19, EVOMELA, MARQIBO, ZEVALIN, ENMD-2076 and others. The majority of the revenue is generated from the product sales of EVOMELA.",243
CASK,"Heritage Distilling Holding Company, Inc. Common Stock",2080,"Heritage Distilling Holding Co Inc is a craft distiller producing, marketing and selling a diverse line of award-winning craft spirits, including whiskeys, vodkas, gins, rums, and ready-to-drink canned cocktails. The company sells its products through wholesale distribution, directly to consumers through its owned and operated distilleries and tasting rooms located in Washington and Oregon and by shipping directly to consumers online where legal. Currently, It sells products primarily in the Pacific Northwest with limited distribution in other states throughout the U.S.",0
CASS,Cass Information Systems Inc,7389,"Cass Information Systems Inc is a provider of payment and information processing services to large manufacturing, distribution and retail enterprises across the United States. The company provides transportation invoice rating, payment processing, auditing, accounting, and transportation information. It is also a processor and payer of energy invoices, including electricity, gas, waste, and other facility-related expenses. It operates in two segments: Information Services and Banking Services. The firm generates maximum revenue from the Information Services segment.",1209
CASY,Casey's General Stores Inc,5500,"Casey's serves as the nation's third-largest convenience store chain with its nearly 2,900 locations primarily positioned in the Midwest United States. About half of Casey's stores are located in rural towns with populations under 5,000. While fueling stations serve as a key traffic driver, about two thirds of the company's gross profit stems from in-store sales of grocery items, prepared meals, and general merchandise. Casey's owns more than 90% of its stores and operates most of its warehousing and distribution processes internally.",45359
CAT,Caterpillar Inc.,3531,"Caterpillar is the world's leading manufacturer of construction and mining equipment, off-highway diesel and natural gas engines, industrial gas turbines and diesel-electric locomotives. Its reporting segments are: construction industries (40% sales/47% operating profit, or OP), resource industries (20% sales/19% OP), and energy & transportation (40% sales/34% OP). Market share approaches 20% across many products. Caterpillar operates a captive finance subsidiary to facilitate sales. The firm has global reach (46% US sales/54% ex-US). Construction skews more domestic, while the other divisions are more geographically diversified. An independent network of 156 dealers operates approximately 2,800 facilities, giving Caterpillar reach into about 190 countries for sales and support services.",121173
CATF,American Century California Municipal Bond ETF,,,0
CATH,Global X S&P 500 Catholic Values ETF,,,0
CATO,CATO CORP,5621,The Cato Corp operates as a specialty retailer of fashion apparel and accessories primarily in the southeastern United States. Its primary objective is to be the fashion specialty retailer for fashion and value in its markets. The company operates through the following business segments: Retail and Credit. The Retail segment which generates the majority of revenue offers fashion specialty stores. The Credit segment involves credit card services.,7300
CATX,"Perspective Therapeutics, Inc.",3841,Perspective Therapeutics Inc is a medical technology and radiopharmaceutical company that is pioneering various treatment applications for cancers throughout the body. The Company has a proprietary technology that utilizes the alpha emitting isotope 212Pb to deliver powerful radiation specifically to cancer cells via specialized targeting peptides.,119
CAVA,"CAVA Group, Inc.",5812,"Cava Group Inc owns and operates a chain of restaurants. It is the category-defining Mediterranean fast-casual restaurant brand, bringing together healthful food and bold, satisfying flavors at scale. The company's dips, spreads, and dressings are centrally produced and sold in grocery stores. The company's operations are conducted as two reportable segments: CAVA and Zoes Kitchen. The company generates the majority of its revenue from the CAVA segment.",8100
CB,Chubb Limited,6331,"ACE acquired Chubb in the first quarter of 2016 and assumed the Chubb name. The combination made the new Chubb one of the largest domestic property and casualty insurers, with operations in 54 countries spanning commercial and personal P&C insurance, reinsurance, and life insurance.",40000
CBAN,Colony Bankcorp Inc.,6022,"Colony Bankcorp Inc is a bank holding company. The bank provides a broad range of banking services to its retail and commercial customers. Its product line includes loans to small and medium-sized businesses, residential and commercial construction and land development loans, commercial real estate loans, agri-business and production loans, residential mortgage loans, consumer loans, and a variety of demand, savings, and time deposit products. The company's segments include the Banking Division, Retail Mortgage Division, and small business specialty lending divisions. It generates maximum revenue from the Banking Division.",452
CBAT,"CBAK Energy Technology, Inc. Common Stock",3690,"CBAK Energy Technology Inc is engaged in the manufacture, commercialization and distribution of a variety of standard and customized lithium-ion high-power rechargeable batteries. The company operates in two operating segments: CBAK's segment mainly includes the manufacture, commercialization and distribution of a wide variety of standard and customized lithium ion rechargeable batteries for use in a wide array of applications. Hitrans' segment mainly includes the development and manufacturing of NCM precursor and cathode materials. Geographically, it generates a majority of its revenue from Mainland China and also has an operation in Europe, the United States, Korea, and Other Countries.",1456
CBFV,"CB Financial Services, Inc. (PA)",6022,"CB Financial Services Inc operates as a bank holding company. The company conducts its operations through its wholly-owned subsidiary, Community Bank, a Pennsylvania-chartered commercial bank. The Bank offers products and services related to residential and commercial real estate loans, commercial and industrial loans, and consumer loans, as well as a range of deposit products for individuals and businesses in its market area. It operates in two operating units namely Community Banking and Insurance brokerage service segment. The bank generates its revenue in the form of interest.",162
CBL,,6798,"CBL & Associates Properties Inc is a U.S.-based real estate investment trust. The company engages in the ownership, development, acquisition, leasing, management and operation of regional shopping malls, outlet centers, lifestyle centers, open-air centers and other properties. CBL's sales predominantly derive from leasing arrangements with retail tenants. The company also generates revenue from management and development fees, as well as sales of its real estate assets. CBL expands its portfolio of assets through activities such as redevelopment, renovation, and expansion.",469
CBLL,"CeriBell, Inc. Common Stock",3845,"CeriBell Inc is a commercial-stage medical technology company focused on transforming the diagnosis and management of patients with serious neurological conditions. The Company has developed the Ceribell System, a novel, point-of-care electroencephalography (EEG) platform specifically designed to address the unmet needs of patients in the acute care setting. By combining proprietary, highly portable and rapidly deployable hardware with sophisticated artificial intelligence (AI) powered algorithms, the Ceribell System enables rapid diagnosis and continuous monitoring of patients with neurological conditions.",0
CBLS,Clough Hedged Equity ETF,,,0
CBNA,"Chain Bridge Bancorp, Inc.",6021,"Chain Bridge Bancorp Inc is engaged in banking industry. It offers commercial and personal banking services, including deposits, treasury management, payments, loans, commercial lending, residential mortgage financing, consumer loans, trusts and estate administration, wealth management, and asset custody.",0
CBNK,"Capital Bancorp, Inc.",6021,"Capital Bancorp Inc is a bank holding company. The company through its holdings operates as a commercial-focused community bank that serves businesses, not-for-profit associations, and entrepreneurs throughout the region. The bank operates through four divisions including Commercial Banking, Capital Bank Home Loans, Corporate Office, and OpenSky. Its Commercial Banking division offers banking-related services to clients, Capital Bank Home Loans division offers conventional and government-guaranteed residential mortgage loans on a nationwide basis for sale into the secondary market, while its OpenSky division provides secured credit cards on a nationwide basis to under-banked populations and those looking to rebuild their credit scores.",299
CBOE,,6200,"Cboe Global Markets Inc is a provider of market infrastructure and tradable products, delivers cutting-edge trading, clearing and investment solutions to market participants around the world. The Company is committed to operating a trusted, inclusive world-wide marketplace, and to providing products, technology and data solutions that enable participants to define a sustainable financial future. Cboe provides trading solutions and products in multiple asset classes, including equities, derivatives, FX, and digital assets, across North America, Europe, and Asia Pacific.",1647
CBON,VanEck China Bond ETF,,,0
CBRE,"CBRE GROUP, INC.",6500,"CBRE Group provides a wide range of real estate services to owners, occupants, and investors worldwide, including leasing, property and project management, and capital markets advisory. CBRE's investment management arm manages over $140 billion for clients across diverse public and private real estate strategies.",130000
CBRL,"Cracker Barrel Old Country Store, Inc,.",5812,"Cracker Barrel Old Country Store Inc operates hundreds of full-service restaurants throughout the United States. The restaurants of the company are open for breakfast, lunch, and dinner, with menus that offer home-style country food. The company generates maximum revenue from the Restaurants.",77600
CBSE,Clough Select Equity ETF,,,0
CBSH,Commerce Bancshares Inc,6022,"Commerce Bancshares Inc. is a $22 billion regional bank that provides a diversified line of financial services, including business and personal banking, wealth management, financial planning, and investments through its affiliated companies. Commerce Bank operates in more than 200 locations in the central United States. Commerce Bancshares also has operating subsidiaries involved in mortgage banking, leasing, credit-related insurance, venture capital, and real estate activities.",4724
CBT,Cabot Corporation,2890,"Cabot Corp manufactures and sells a variety of chemicals, materials, and chemical-based products. The company organizes itself into the following operating segments based on the product type; the Reinforcement Materials segment which generates maximum revenue provides reinforcing carbon products used in tires, and industrial products such as hoses, belts, extruded profiles, and molded goods; and the Performance Chemicals segment aggregates the specialty carbons, specialty compounds, fumed metal oxides, battery materials, inkjet colorants, and aerogel product lines. Geographically, the company derives maximum revenue from its customers in Europe, the Middle East, and Africa and the rest from the Americas and Asia Pacific region.",4200
CBU,"Community Financial System, Inc.",6021,"Community Financial System Inc is a diversified financial services company that is focused on four main business lines banking, benefits administration, insurance services and wealth management. The Company also offers comprehensive financial planning, trust administration and wealth management services through its Community Bank Wealth Management operating unit. Key revenue is generated from banking business.",2849
CBUS,"Cibus, Inc. Class A Common Stock",2870,"Cibus Inc is a biotechnology company. The company develops and commercializes a proprietary gene-editing technology, Rapid Trait Development System that integrates crop specific cell biology platforms with a series of gene editing technologies. The company's primary business is the development of plant traits that help address specific productivity or yield challenges in farming such as traits addressing plant agronomy, disease, insects, weeds, nutrient-use, or the climate.",183
CBZ,"CBIZ, Inc.",7389,"CBIZ Inc through its subsidiaries provides professional business services. Its business units have been aggregated into three practice groups: Financial Services, Benefits and Insurance Services, and National Practices. The company provides its services to various industries such as Agribusiness, Agribusiness, SAAS, Construction, Health Care, Oil and Gas, Real Estate, Retail, Financial Institutions, and Government among others. It derives the majority of its revenues from the Financial Services segment and geographically from the United States.",6700
CC,The Chemours Company,2800,"The Chemours Co is a global provider of chemicals. It delivers customized solutions with a wide range of industrial and specialty chemicals products for various markets including coatings, plastics, refrigeration, air conditioning, etc. The company's operating segments include Titanium Technologies, Thermal & Specialized Solutions, and Advanced Performance Materials. It generates maximum revenue from the Titanium Technologies segment. The Titanium Technologies segment is a producer of TiO2 pigment, a premium white pigment used to deliver whiteness, brightness, opacity, durability, efficiency, and protection across a variety of applications. Geographically, the company derives a majority of its revenue from North America.",6200
CCAP,"Crescent Capital BDC, Inc. Common stock",,"Crescent Capital BDC Inc is a business development company structured as an externally managed, closed-end, non-diversified management investment company. The company's primary investment objective is to maximize the total return to its stockholders in the form of current income and capital appreciation through debt and related equity investments. It will seek to achieve its investment objectives by investing in secured debt (including senior secured, unitranche, and second lien debt) and unsecured debt (including senior unsecured, mezzanine, and subordinated debt), as well as related equity securities of private U.S. middle-market companies.",0
CCB,Coastal Financial Corporation,6022,"Coastal Financial Corp is a financial service provider. The company provides banking products and services to consumers and small to medium-sized businesses. Its business is conducted through three reportable segments: The community bank, CCBX, and treasury & administration. The primary focus of the community bank is on providing a wide range of banking products and services to consumers and small to medium-sized businesses in the broader Puget Sound region in the state of Washington and through the Internet and mobile banking applications.",486
CCBG,Capital City Bank Group Inc,6022,"Capital City Bank Group Inc is a United States-based group engaged in Banking services, Trust and asset management services, and Brokerage services. The company offers retail and commercial banking business in the form of traditional deposit and credit services, asset management, trust, mortgage banking, merchant services, bank cards, data processing, and securities brokerage services among others through its banking offices in Florida, Georgia, and Alabama.",796
CCCC,"C4 Therapeutics, Inc.",2836,C4 Therapeutics Inc is a biopharmaceutical company advancing targeted protein degradation science to develop a new generation of small-molecular medicines to transform how the disease is treated. Its TORPEDO platform enables the discovery of a new class of targeted investigational small-molecule medicines called protein degraders.,145
CCCS,CCC Intelligent Solutions Holdings Inc. Common Stock,7372,"CCC Intelligent Solutions Holdings Inc is a provider of cloud, mobile, AI, telematics, hyperscale technologies and applications for the property and casualty insurance economy. The company's SaaS platform connects trading partners, facilitates commerce, and supports mission-critical, and AI-enabled digital workflows. The company generate revenue through the sale of software subscriptions and other revenue, primarily from professional services. The company has its presence in United States and China. Majority of the revenue is generated from United States.",2325
CCD,Calamos Dynamic Convertible & Income Fund,,"Calamos Dynamic Convertible and Income Fund operates as a diversified, closed-end management investment company. The fund's investment objective is to provide total return through a combination of current income and capital appreciation. It predominantly invests in a portfolio of convertible securities, investment grade and below investment grade bonds, loans, equity-linked notes, and floating rate securities.",0
CCEC,Capital Clean Energy Carriers Corp. Common Share,,"Capital Clean Energy Carriers Corp is an international shipping company. It is the leading platform of gas carriage solutions with a focus on the energy transition. The company owns 20 high-specification vessels, including 12 latest-generation LNG carriers (LNG/Cs) and eight legacy Neo-Panamax container vessels.",0
CCEF,Calamos CEF Income & Arbitrage ETF,,,0
CCEL,Cryo-Cell International Inc.,8090,"Cryo-Cell International Inc is engaged in cellular processing and cryogenic storage. The company is organized into three reportable segments namely cellular processing and cryogenic storage, with a focus on the collection and preservation of umbilical cord blood and tissue stem cells for family use and the manufacturing of PrepaCyte CB units segment, which is a processing technology used to process umbilical cord blood stem cells. The Public cord blood banking segment consists of cellular processing and cryogenic storage of umbilical cord blood stem cells for public use. The company generates maximum revenue from cellular processing and cryogenic storage and it derives revenue from processing and testing fees and storage segment.",88
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,,"CCEP is the second-largest bottling partner in the Coca-Cola system by volume, behind Coca-Cola Femsa, and primarily operates in developed Europe (80% of 2023 revenue and EBIT) and Australasia (20%).In 2023, CCEP sold 3.3 billion unit cases of beverages, which we estimate equates to roughly 9% of the global Coke system volume. Coke's largest bottler, Coca-Cola Femsa sold 4 billion unit cases (12%), and the third-largest, Coca-Cola HBC, serving Eastern Europe and North Africa, sold 2.8 billion unit cases (8%).TCCC owns 19% of the equity of CCEP, Olive Partners, a holding company of bottling operations, owns a further 36%, and the remaining 45% is free float.",33295
CCGWW,Cheche Group Inc. Warrant,,"Cheche Group Inc is an insurtech company. It is China's independent technology-empowered platform for auto insurance transaction services by digital auto insurance transaction premiums and insurance technology companies. The company has reshaped the traditional auto insurance distribution and services value chain to create a digital platform by improving operational efficiencies, reducing transaction costs, and expanding distribution channels. Its business scope ranges from digital insurance transactions, SaaS platforms for insurance intermediaries, AI-driven insurance pricing and underwriting services, auto insurance services for new energy vehicle (NEV) manufacturers, green auto insurance innovations, etc.",635
CCI,Crown Castle Inc.,6798,"Crown Castle International owns and leases roughly 40,000 cell towers in the United States. It also owns more than 90,000 route miles of fiber. It leases space on its towers to wireless service providers, which install equipment on the towers to support their wireless networks. The company's fiber is primarily leased by wireless service providers to set up small-cell network infrastructure and by enterprises for their internal connection needs. Crown Castle's towers and fiber are predominantly located in the largest us cities. The company has a very concentrated customer base, with about 75% of its revenue coming from the big three us mobile carriers. Crown Castle operates as a real estate investment trust.",5000
CCIA,Carlyle Credit Income Fund 8.75% Series A Preferred Shares due 2028,,"Carlyle Credit Income Fund is a non-diversified, closed-end management investment company. The Fund's primary investment objective is to generate current income, with a secondary objective to generate capital appreciation. The Fund seeks to achieve its investment objective by investing predominantly in equity and junior debt tranches of collateralized loan obligations, that are collateralized by a portfolio consisting mainly of below-investment-grade U.S. senior secured loans with a large number of distinct underlying borrowers across various industry sectors.",0
CCIRU,Cohen Circle Acquisition Corp. I Unit,6770,Cohen Circle Acquisition Corp I is a blank check company.,0
CCIRW,Cohen Circle Acquisition Corp. I Warrant,6770,Cohen Circle Acquisition Corp I is a blank check company.,0
CCIX,Churchill Capital Corp IX Ordinary Shares,6770,Churchill Capital Corp IX is a blank check company.,0
CCIXU,Churchill Capital Corp IX Unit,6770,Churchill Capital Corp IX is a blank check company.,0
CCIXW,Churchill Capital Corp IX Warrant,6770,Churchill Capital Corp IX is a blank check company.,0
CCJ,Cameco Corporation,,"Cameco Corp is a provider of uranium needed to generate clean, reliable baseload electricity around the globe. one of those uranium producers. Cameco has three reportable segments, uranium, fuel services and Westinghouse. It derives maximum revenue from Uranium Segment. It has some projects namely; Millennium, Yeelirrie, Kintyre and Exploration. The company operates in Canada, Kazakhstan, Germany, Australia and United States.",2638
CCK,Crown Holdings Inc.,3411,"Crown Holdings is one of the world's largest producers of metal packaging. The company manufactures beverage cans, metal food cans, and closures as well as aerosol cans. With the purchase of Signode, the company also has a presence in a wide variety of protective transport packaging. Although it's headquartered in the United States, the vast majority of Crown's sales come from its operations in Europe, South America, and Southeast Asia.",25000
CCL,Carnival Corporation,4400,"Carnival is the largest global cruise company, with 92 ships in service at the end of fiscal 2023. Its portfolio of brands includes Carnival Cruise Lines, Holland America, Princess Cruises, and Seabourn in North America; P&O Cruises and Cunard Line in the United Kingdom; Aida in Germany; Costa Cruises in Southern Europe. It's currently folding its P&O Australia brand into Carnival. The firm also owns Holland America Princess Alaska Tours in Alaska and the Canadian Yukon. Carnival's brands attracted nearly 13 million guests in 2019, prior to covid-19, a level it reached again in 2023.",106000
CCLD,"CareCloud, Inc. Common Stock",7372,"CareCloud Inc is a healthcare information technology company. It provides a full suite of proprietary cloud-based solutions and related business services. Its Software-as-a-Service platforms include practice management (PM), electronic health record (EHR), business intelligence, telehealth, patient experience management (PXM) solutions, and robotic processing automation (RPA) bots, along with complementary software tools and business services such as revenue cycle management (RCM), premiere healthcare consulting and implementation services, and on-demand workforce staffing capabilities for high-performance medical groups and health systems nationwide. The operating segments of the group are Healthcare IT, which is the key revenue generating segment, and Practice Management.",3600
CCLDO,"CareCloud, Inc. 8.75% Series B Cumulative Redeemable Perpetual Preferred Stock",7372,"CareCloud Inc is a healthcare information technology company. It provides a full suite of proprietary cloud-based solutions and related business services. Its Software-as-a-Service platforms include practice management (PM), electronic health record (EHR), business intelligence, telehealth, patient experience management (PXM) solutions, and robotic processing automation (RPA) bots, along with complementary software tools and business services such as revenue cycle management (RCM), premiere healthcare consulting and implementation services, and on-demand workforce staffing capabilities for high-performance medical groups and health systems nationwide. The operating segments of the group are Healthcare IT, which is the key revenue generating segment, and Practice Management.",3600
CCLDP,"CareCloud, Inc. 11% Series A Cumulative Redeemable Perpetual Preferred Stock",7372,"CareCloud Inc is a healthcare information technology company. It provides a full suite of proprietary cloud-based solutions and related business services. Its Software-as-a-Service platforms include practice management (PM), electronic health record (EHR), business intelligence, telehealth, patient experience management (PXM) solutions, and robotic processing automation (RPA) bots, along with complementary software tools and business services such as revenue cycle management (RCM), premiere healthcare consulting and implementation services, and on-demand workforce staffing capabilities for high-performance medical groups and health systems nationwide. The operating segments of the group are Healthcare IT, which is the key revenue generating segment, and Practice Management.",3600
CCM,Concord Medical Services Holding Limited,,"Concord Medical Services Holdings Ltd operates radiotherapy and diagnostic imaging centers in China. The company operates cooperative centers across several provinces and administrative regions in China. Its network includes radiotherapy centers, diagnostic imaging centers, and centers providing other treatment and diagnostic services, such as electroencephalography for the diagnosis of epilepsy, thermotherapy to increase the efficacy of and for pain relief after radiotherapy and chemotherapy, high-intensity focused ultrasound therapy for the treatment of cancer, stereotactic radiofrequency ablation for the treatment of Parkinson's Disease and refraction and tonometry for the diagnosis of ophthalmic conditions.",727
CCMG,CCM Global Equity ETF,,,0
CCNE,CNB Financial Corp/PA,6022,"CNB Financial Corp is providing integrated financial solutions, which create value for both consumers and businesses. These solutions encompass deposit accounts, private banking, real estate, commercial, industrial, residential and consumer loans and lines of credit, credit cards, treasury services, online banking, mobile banking, merchant credit card processing, remote deposit and accounts receivable handling. In addition, the corporation provides wealth and asset management services, retirement plans and other employee benefit plans.",801
CCNEP,"CNB Financial Corporation Depositary Shares, each representing a 1/40th ownership interest in a share of 7.125% Series A Fixed-Rate Non-Cumulative Perpetual Preferred Stock",6022,"CNB Financial Corp is providing integrated financial solutions, which create value for both consumers and businesses. These solutions encompass deposit accounts, private banking, real estate, commercial, industrial, residential and consumer loans and lines of credit, credit cards, treasury services, online banking, mobile banking, merchant credit card processing, remote deposit and accounts receivable handling. In addition, the corporation provides wealth and asset management services, retirement plans and other employee benefit plans.",801
CCNR,Financial Investors Trust ALPS/CoreCommodity Natural Resources ETF,,,0
